lsoa_code,lsoa_name,lad_code,lad_name
E01011949,Hartlepool 009A,E06000001,Hartlepool
E01011950,Hartlepool 008A,E06000001,Hartlepool
E01011951,Hartlepool 007A,E06000001,Hartlepool
E01011952,Hartlepool 002A,E06000001,Hartlepool
E01011953,Hartlepool 002B,E06000001,Hartlepool
E01011954,Hartlepool 001A,E06000001,Hartlepool
E01011955,Hartlepool 003A,E06000001,Hartlepool
E01011957,Hartlepool 003C,E06000001,Hartlepool
E01011959,Hartlepool 014A,E06000001,Hartlepool
E01011960,Hartlepool 014B,E06000001,Hartlepool
E01011961,Hartlepool 012A,E06000001,Hartlepool
E01011962,Hartlepool 012B,E06000001,Hartlepool
E01011963,Hartlepool 014C,E06000001,Hartlepool
E01011964,Hartlepool 007B,E06000001,Hartlepool
E01011965,Hartlepool 015G,E06000001,Hartlepool
E01011966,Hartlepool 015E,E06000001,Hartlepool
E01011967,Hartlepool 007C,E06000001,Hartlepool
E01011968,Hartlepool 014D,E06000001,Hartlepool
E01011969,Hartlepool 001B,E06000001,Hartlepool
E01011970,Hartlepool 001C,E06000001,Hartlepool
E01011971,Hartlepool 001D,E06000001,Hartlepool
E01011974,Hartlepool 015B,E06000001,Hartlepool
E01011975,Hartlepool 015D,E06000001,Hartlepool
E01011977,Hartlepool 012C,E06000001,Hartlepool
E01011978,Hartlepool 012D,E06000001,Hartlepool
E01011979,Hartlepool 012E,E06000001,Hartlepool
E01011980,Hartlepool 009B,E06000001,Hartlepool
E01011981,Hartlepool 009C,E06000001,Hartlepool
E01011982,Hartlepool 014E,E06000001,Hartlepool
E01011983,Hartlepool 015F,E06000001,Hartlepool
E01011984,Hartlepool 009D,E06000001,Hartlepool
E01011985,Hartlepool 010A,E06000001,Hartlepool
E01011986,Hartlepool 008B,E06000001,Hartlepool
E01011987,Hartlepool 008C,E06000001,Hartlepool
E01011988,Hartlepool 010B,E06000001,Hartlepool
E01011989,Hartlepool 010C,E06000001,Hartlepool
E01011990,Hartlepool 010D,E06000001,Hartlepool
E01011991,Hartlepool 002C,E06000001,Hartlepool
E01011992,Hartlepool 002D,E06000001,Hartlepool
E01011993,Hartlepool 002E,E06000001,Hartlepool
E01011994,Hartlepool 002F,E06000001,Hartlepool
E01011995,Hartlepool 011A,E06000001,Hartlepool
E01011996,Hartlepool 011B,E06000001,Hartlepool
E01011997,Hartlepool 011C,E06000001,Hartlepool
E01011998,Hartlepool 011D,E06000001,Hartlepool
E01011999,Hartlepool 007D,E06000001,Hartlepool
E01012000,Hartlepool 007E,E06000001,Hartlepool
E01012001,Hartlepool 008D,E06000001,Hartlepool
E01012002,Hartlepool 015A,E06000001,Hartlepool
E01012003,Hartlepool 014F,E06000001,Hartlepool
E01012005,Hartlepool 014G,E06000001,Hartlepool
E01012007,Middlesbrough 012A,E06000002,Middlesbrough
E01012008,Middlesbrough 012B,E06000002,Middlesbrough
E01012009,Middlesbrough 012C,E06000002,Middlesbrough
E01012010,Middlesbrough 012D,E06000002,Middlesbrough
E01012011,Middlesbrough 008A,E06000002,Middlesbrough
